# source: opsd_household_fetch
hour,demand_kwh_reference
8730,0.7000893359449292
8731,0.8994865080677645
8732,0.6597700548169942
8733,0.41052358966436686
8734,0.41418897885754274
8735,0.1906002380581465
8736,0.20526179483218343
8737,0.18546869318730022
8738,0.14295017854385988
8739,0.18840100454230763
8740,0.45817364917865344
8741,0.21479180673470738
8742,1.4185056178574045
8743,1.1120790812862997
8744,0.47136905027502
8745,0.4962936967904161
8746,0.2954303689902437
8747,0.25657724353997924
8748,0.8518364485531446
8749,0.368738152859095
8750,0.822513335005404
8751,0.6583038991399907
8752,1.5907789099480047
8753,1.0021174054833561
8754,0.5226844989834826
8755,0.34454658418220074
8756,0.2507126208302978
8757,0.4215197572445612
8758,0.29909575818375295
8759,0.2015964056386742
8760,0.2345849083795906
8761,0.18107022615528917
8762,0.2257879743152351
8763,0.21772411808971479
8764,0.6304469412699205
8765,1.2132438230248876
8766,0.6399769531727778
8767,0.6612362104946646
8768,0.4127228231802057
8769,0.8591672269398296
8770,0.7917240657806598
8771,0.5226844989828159
8772,0.6744316115913646
8773,0.6597700548169942
8774,0.5805976482391283
8775,0.4823652178555477
8776,0.9361404000015234
8777,0.636311563979602
8778,0.9141480648411346
8779,0.6341123304630963
8780,1.1604622186400881
8781,0.9163472983569736
8782,0.21405872889653893
8783,0.18180330399412437
8784,0.11729245418962861
8785,1.0314405190307634
8786,1.1545975959300734
8787,1.2630931160556798
8788,0.2800357343783717
8789,1.370855558342451
8790,0.6414431088497815
8791,0.7279462938153326
8792,0.3078926922477751
8793,1.0006512498063524
8794,0.4962936967904161
8795,0.9808581481618026
8796,1.1839207094774804
8797,0.25657724353997924
8798,0.3826666317942967
8799,0.8379079696179428
8800,0.6304469412695871
8801,0.6157853844958836
8802,0.4215197572445612
8803,0.4119897453413705
8804,0.34674581769870627
8805,0.2602426327334885
8806,0.4545082599851442
8807,0.2177241180893814
8808,0.5813307260782968
8809,0.1759386812844429
8810,0.1026308974162584
8811,0.19060023805781312
8812,0.5219514211446474
8813,0.5593383909172415
8814,0.3848658653098022
8815,0.2968965246679141
8816,0.8650318496491777
8817,0.7294124494926697
8818,0.9346742443245197
8819,0.3298850274084971
8820,1.2293715354759283
8821,1.1216090931894904
8822,1.0395043752566169
8823,0.7294124494923363
8824,0.9530011902917326
8825,1.2293715354762615
8826,0.5300152773698343
8827,0.5036244751771012
8828,0.5153537205961307
8829,0.5058237086932734
8830,0.49849293030625497
8831,0.5498083790143842
8832,0.4376474696952684
8833,0.2551110878629756
8834,0.24704723163712194
8835,0.2968965246679141
8836,0.3100919257639473
8837,0.39219664369682067
8838,0.45230902646897203
8839,0.933208088647516
8840,0.7807278982001321
8841,1.7755145252971365
8842,0.6693000667201849
8843,0.36653891934292276
8844,0.3775350869231171
8845,0.6890931683650682
8846,0.4691698167588478
8847,0.8613664604556684
8848,0.8628326161333388
8849,1.017512040095895
8850,0.6487738872371334
8851,0.9214788432278198
8852,0.5864622709488098
8853,0.5410114449500286
8854,0.4471774815984591
8855,0.6231161628832353
8856,0.5036244751767679
8857,0.20379563915484641
8858,0.2529118543468034
8859,0.34821197337570997
8860,0.34821197337570997
8861,0.4083243561478613
8862,0.6583038991399907
8863,0.5791314925617913
8864,0.34088119498902486
8865,0.3958620328903299
8866,0.3042273030545992
8867,0.2690395667975106
8868,0.24411492028278126
8869,0.5131544870799585
8870,1.0263089741602505
8871,1.1545975959300734
8872,1.3048785528606184
8873,0.48383137353288475
8874,0.45084287079196833
8875,0.29323113547407154
8876,0.5094890978867826
8877,0.5109552535637863
8878,0.4031928112773484
8879,0.46403827188800156
8880,0.4655044275660053
