# source: pvgis_fetch
hour,solar_kw_per_kwp
5018,0.0
5019,0.0
5020,0.023309999999999997
5021,0.12012
5022,0.31125
5023,0.48325999999999997
5024,0.61561
5025,0.69244
5026,0.71721
5027,0.7069500000000001
5028,0.6489
5029,0.5590499999999999
5030,0.43367
5031,0.26342000000000004
5032,0.08719
5033,0.01446
5034,0.0
5035,0.0
5036,0.0
5037,0.0
5038,0.0
5039,0.0
5040,0.0
5041,0.0
5042,0.0
5043,0.0
5044,0.023100000000000002
5045,0.11768
5046,0.29774
5047,0.46144999999999997
5048,0.59565
5049,0.69371
5050,0.7271299999999999
5051,0.72625
5052,0.6959
5053,0.5877899999999999
5054,0.43845999999999996
5055,0.26856
5056,0.08602
5057,0.01384
5058,0.0
5059,0.0
5060,0.0
5061,0.0
5062,0.0
5063,0.0
5064,0.0
5065,0.0
5066,0.0
5067,0.0
5068,0.02222
5069,0.11472
5070,0.28935
5071,0.44762
5072,0.5746
5073,0.67203
5074,0.7185199999999999
5075,0.71075
5076,0.68944
5077,0.57374
5078,0.4313
5079,0.25780000000000003
5080,0.08558
5081,0.0126
5082,0.0
5083,0.0
5084,0.0
5085,0.0
5086,0.0
5087,0.0
5088,0.0
5089,0.0
5090,0.0
5091,0.0
5092,0.02149
5093,0.11506
5094,0.29514
5095,0.45792
5096,0.59125
5097,0.6681
5098,0.70701
5099,0.6992
5100,0.65743
5101,0.56112
5102,0.42443000000000003
5103,0.25793
5104,0.08479
5105,0.0125
5106,0.0
5107,0.0
5108,0.0
5109,0.0
5110,0.0
5111,0.0
5112,0.0
5113,0.0
5114,0.0
5115,0.0
5116,0.020489999999999998
5117,0.11198999999999999
5118,0.28602999999999995
5119,0.45331
5120,0.5814900000000001
5121,0.66871
5122,0.69099
5123,0.68172
5124,0.6349199999999999
5125,0.552
5126,0.40692
5127,0.23337
5128,0.0062900000000000005
5129,0.0
5130,0.0
5131,0.0
5132,0.0
5133,0.0
5134,0.0
5135,0.0
5136,0.0
5137,0.0
5138,0.0
5139,0.0
5140,0.01979
5141,0.11302
5142,0.29122000000000003
5143,0.45592
5144,0.58599
5145,0.57062
5146,0.33444999999999997
5147,0.57304
5148,0.6671699999999999
5149,0.56957
5150,0.33925
5151,0.24896000000000001
5152,0.08492
5153,0.011
5154,0.0
5155,0.0
5156,0.0
5157,0.0
5158,0.0
5159,0.0
5160,0.0
5161,0.0
5162,0.0
5163,0.0
5164,0.01871
5165,0.11431999999999999
5166,0.29795
5167,0.46976999999999997
5168,0.6096
5169,0.70438
5170,0.74875
5171,0.7512300000000001
5172,0.71041
5173,0.59312
5174,0.44188
5175,0.26598
5176,0.08336
5177,0.0105
5178,0.0
5179,0.0
5180,0.0
5181,0.0
5182,0.0
5183,0.0
5184,0.0
5185,0.0
5186,0.0
5187,0.0
5188,0.01819
5189,0.11233
5190,0.29512
5191,0.47067000000000003
5192,0.6027899999999999
5193,0.69737
5194,0.7424299999999999
5195,0.73334
5196,0.68238
5197,0.58468
5198,0.44205
5199,0.25671
5200,0.08223
5201,0.00991
5202,0.0
5203,0.0
5204,0.0
5205,0.0
5206,0.0
5207,0.0
5208,0.0
5209,0.0
5210,0.0
5211,0.0
5212,0.018170000000000002
5213,0.11087999999999999
5214,0.29217000000000004
5215,0.45327999999999996
5216,0.55335
5217,0.48311000000000004
5218,0.41326
5219,0.51143
5220,0.47505000000000003
5221,0.36683
5222,0.23323
5223,0.25607
5224,0.04917
5225,0.0
5226,0.0
5227,0.0
5228,0.0
5229,0.0
5230,0.0
5231,0.0
5232,0.0
5233,0.0
5234,0.0
5235,0.0
5236,0.0
5237,0.11042
5238,0.29419
5239,0.44251999999999997
5240,0.5585
5241,0.60973
5242,0.47379000000000004
5243,0.42395
5244,0.14385
5245,0.06609999999999999
5246,0.29985
5247,0.08837
5248,0.07834999999999999
5249,0.00816
5250,0.0
5251,0.0
5252,0.0
5253,0.0
5254,0.0
5255,0.0
5256,0.0
5257,0.0
5258,0.0
5259,0.0
5260,0.01706
5261,0.04323
5262,0.07266
5263,0.0506
5264,0.24652000000000002
5265,0.71666
5266,0.61227
5267,0.50107
5268,0.57884
5269,0.28937999999999997
5270,0.35002999999999995
5271,0.25046
5272,0.0773
5273,0.00709
5274,0.0
5275,0.0
5276,0.0
5277,0.0
5278,0.0
5279,0.0
5280,0.0
5281,0.0
5282,0.0
5283,0.0
5284,0.00219
5285,0.053509999999999995
5286,0.19831000000000001
5287,0.4337
5288,0.35405000000000003
5289,0.18687
5290,0.4768
5291,0.28155
5292,0.59403
5293,0.49387000000000003
5294,0.42666000000000004
5295,0.1643
5296,0.00481
5297,0.0
5298,0.0
5299,0.0
5300,0.0
5301,0.0
5302,0.0
5303,0.0
5304,0.0
5305,0.0
5306,0.0
5307,0.0
5308,0.00261
5309,0.011439999999999999
5310,0.07648
5311,0.46747000000000005
5312,0.5984700000000001
5313,0.62724
5314,0.73334
5315,0.72765
5316,0.65304
5317,0.40889
5318,0.18687
5319,0.01465
5320,0.009880000000000002
5321,0.0
5322,0.0
5323,0.0
5324,0.0
5325,0.0
5326,0.0
5327,0.0
5328,0.0
5329,0.0
5330,0.0
5331,0.0
5332,0.01244
5333,0.10890999999999999
5334,0.29462
5335,0.47389
5336,0.61702
5337,0.69798
5338,0.72875
5339,0.7196699999999999
5340,0.5761900000000001
5341,0.55756
5342,0.41754
5343,0.20971
5344,0.07391
5345,0.0044
5346,0.0
5347,0.0
5348,0.0
5349,0.0
5350,0.0
5351,0.0
5352,0.0
5353,0.0
5354,0.0
5355,0.0
5356,0.01367
5357,0.10912999999999999
5358,0.29825
5359,0.46889
5360,0.59496
5361,0.68432
5362,0.7262799999999999
5363,0.71939
5364,0.6622899999999999
5365,0.5774900000000001
5366,0.42831
5367,0.24686000000000002
5368,0.07267
5369,0.00297
5370,0.0
5371,0.0
5372,0.0
5373,0.0
5374,0.0
5375,0.0
5376,0.0
5377,0.0
5378,0.0
5379,0.0
5380,0.01308
5381,0.10848999999999999
5382,0.29457
5383,0.46155
5384,0.5910299999999999
5385,0.6755399999999999
5386,0.71639
5387,0.73466
5388,0.6718
5389,0.57014
5390,0.44265
5391,0.25115
5392,0.07192
5393,0.00297
5394,0.0
5395,0.0
5396,0.0
5397,0.0
5398,0.0
5399,0.0
5400,0.0
5401,0.0
5402,0.0
5403,0.0
5404,0.00948
5405,0.1045
5406,0.28435000000000005
5407,0.44171
5408,0.57916
5409,0.67361
5410,0.71196
5411,0.7348600000000001
5412,0.6595700000000001
5413,0.57441
5414,0.42743000000000003
5415,0.23865
5416,0.07066
5417,0.00125
5418,0.0
5419,0.0
5420,0.0
5421,0.0
5422,0.0
5423,0.0
5424,0.0
5425,0.0
5426,0.0
5427,0.0
5428,0.00942
5429,0.10617
5430,0.29123000000000004
5431,0.46864
5432,0.60119
5433,0.68867
5434,0.73854
5435,0.7388899999999999
5436,0.678
5437,0.57941
5438,0.44158
5439,0.2505
5440,0.06899
5441,0.00051
5442,0.0
5443,0.0
5444,0.0
5445,0.0
5446,0.0
5447,0.0
5448,0.0
5449,0.0
5450,0.0
5451,0.0
5452,0.008320000000000001
5453,0.09429000000000001
5454,0.25257
5455,0.45649
5456,0.6087899999999999
5457,0.6918500000000001
5458,0.73237
5459,0.7356900000000001
5460,0.6040099999999999
5461,0.57455
5462,0.25046
5463,0.25519
5464,0.05763
5465,0.0
5466,0.0
5467,0.0
