k,broker_count,ablation,seed,capacity_surcharge_mode,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,run_wallclock_sec,peak_rss_mb
0.5,5,capacity_disabled,20260713,synchronized,608.1472487696032,0.17714377700170955,0.34928126109172186,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.23872586222348766, ""regulated_utility"": 0.41614810501569194, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.3451260327608204}",0.6886040505860253,3.5356332059696767,20.92787534323174,0.7278377619589123,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.4709688971168817,0.0,0.0,5,481.1418163999915,131.3359375
0.5,5,capacity_disabled,20260718,synchronized,609.46009890348,0.16789536342939407,0.36082114314017616,"{""premium_green"": 0.2156904224472156, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.33415466772391367, ""volatile_low_cost"": 0.4501549098288707, ""volatile_low_cost_dup2"": 0.0}",0.6726046925056962,3.499589253709444,21.597636082687828,0.7015852167112016,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.49378579495266206,0.0,0.005,5,368.34401170001365,131.62109375
0.5,5,capacity_disabled,20260716,synchronized,580.6749962243665,0.16922600849481476,0.3598448621751582,"{""premium_green"": 0.18079426318531672, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.3590566241516021, ""volatile_low_cost"": 0.44497922622610253, ""volatile_low_cost_dup2"": 0.015169886436978593}",0.6716705994288565,3.5303067462268487,20.26187492094438,0.7024179667816183,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.4935380760667314,0.0,0.02,5,402.44896059995517,131.609375
0.5,5,capacity_disabled,20260717,synchronized,590.5305257085294,0.1661543846134252,0.3796346079666871,"{""premium_green"": 0.15944086684662037, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.3722786114103589, ""volatile_low_cost"": 0.4643342333276788, ""volatile_low_cost_dup2"": 0.003946288415342058}",0.6588672230482993,3.4589357001113794,20.733941438475853,0.7271483982128222,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.5188003158601497,0.0,0.01,5,406.60785579984076,131.69921875
0.5,5,capacity_disabled,20260720,synchronized,613.8136235824365,0.172919874890288,0.3453093209635796,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.24719486736041063, ""regulated_utility"": 0.3479729393709617, ""volatile_low_cost"": 0.4038786237037888, ""volatile_low_cost_dup2"": 0.0009535695648388282}",0.6713249036221114,3.4906427171113372,21.194457739410733,0.7294030583578343,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.46191064688548034,0.0,0.005,5,377.41487610014156,131.27734375
0.5,5,capacity_disabled,20260721,synchronized,603.856098452388,0.17188493565123777,0.3344393692377761,"{""premium_green"": 0.23668951054874657, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.3564138025756472, ""volatile_low_cost"": 0.018240096763463685, ""volatile_low_cost_dup2"": 0.38865659011214254}",0.6823194801846754,3.493973266930141,21.192921798064173,0.6993267271881601,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.44619475441458767,0.0,0.02,5,390.81600350001827,131.30859375
0.5,5,capacity_disabled,20260719,synchronized,624.0743378461178,0.1711551892621577,0.3570363413689329,"{""premium_green"": 0.190777770609037, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.40285585303912547, ""volatile_low_cost"": 0.008528969922325063, ""volatile_low_cost_dup2"": 0.3978374064295126}",0.639943139145318,3.3995304196785554,20.807298892034183,0.704249100005349,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.47800805703417537,0.0,0.02,5,436.42483389982954,131.63671875
0.5,5,capacity_disabled,20260723,synchronized,588.9034156434997,0.17261592869302023,0.3561377791805395,"{""premium_green"": 0.21025284346092835, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.4012467786570745, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.38850037788199715}",0.6948846177688033,3.5486689975353287,20.930413597965888,0.7423546002655729,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.4763975740784585,0.0,0.0,5,392.71571710007265,131.89453125
0.5,5,capacity_disabled,20260722,synchronized,624.8333755178143,0.17817998207168834,0.3541721083694342,"{""premium_green"": 0.22437046407387867, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.4267340094781602, ""volatile_low_cost"": 0.3488955264479612, ""volatile_low_cost_dup2"": 0.0}",0.6728477649272684,3.510013970211969,20.992512408942826,0.7327002225319499,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.48094541816171277,0.0,0.0,5,418.2638224000111,131.6640625
0.5,5,capacity_disabled,20260724,synchronized,591.7375263127715,0.1671773375146301,0.365915734733278,"{""premium_green"": 0.2002169605146837, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.3451080900793284, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.45467494940598796}",0.6574458822172965,3.4751132991696707,20.648730497356002,0.7405364817692727,0.0,0.0,"{""premium_green"": 0.0, ""premium_green_dup2"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0, ""volatile_low_cost_dup2"": 0.0}",0.5017831955565217,0.0,0.0,5,332.42343760002404,131.58984375
