k,broker_count,ablation,seed,capacity_surcharge_mode,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,run_wallclock_sec,peak_rss_mb,capacity_surcharge_divisor
0.5,1,capacity_disabled,20260733,proportional,683.5313356308502,0.1938812588924194,1.0,"{""regulated_utility"": 1.0}",0.6599709594973472,3.479350138391643,20.697014627749034,0.7235812591326167,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,453.82141729979776,131.59375,2
0.5,1,capacity_disabled,20260729,proportional,667.4012567885958,0.19393045319052266,1.0,"{""regulated_utility"": 1.0}",0.6782328692472034,3.5039997503522105,20.53067876358664,0.6920707896385033,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,520.6643579001538,131.27734375,2
0.5,1,capacity_both,20260705,proportional,761.5950520892816,0.21315591587362606,1.0,"{""regulated_utility"": 1.0}",0.5602502195332452,3.5536597399457928,21.98477832183428,0.6975774048557758,9595.092997862663,0.3091324200913242,"{""regulated_utility"": 0.015450913242008736}",0.0,83031.12805358929,0.0,1,461.4485041999724,131.51171875,2
0.5,1,capacity_disabled,20260722,proportional,694.3009147413399,0.19395979920364767,1.0,"{""regulated_utility"": 1.0}",0.6812926358049477,3.5187908335563987,21.67274105000705,0.7307334074408469,0.0,0.0,"{""regulated_utility"": 0.0}",0.0,0.0,0.0,1,616.9594815000892,131.43359375,2
0.5,1,capacity_both,20260704,proportional,714.8290615052637,0.21344708949050645,1.0,"{""regulated_utility"": 1.0}",0.5755727151513379,3.5174187659508593,20.79917261869938,0.732777523399313,9171.242204249578,0.308675799086758,"{""regulated_utility"": 0.01542808219178042}",0.0,78661.81191386867,0.0,1,505.3117562001571,131.7890625,2
0.5,1,capacity_both,20260710,proportional,739.0456975821257,0.21320328280450196,1.0,"{""regulated_utility"": 1.0}",0.5608957890350292,3.52060582053567,21.25616287561704,0.7242952580193277,9381.335221641215,0.30981735159817353,"{""regulated_utility"": 0.015490867579908288}",0.0,80781.54941885066,0.0,1,400.92713680001907,131.41796875,2
0.5,1,capacity_both,20260709,proportional,764.942195391059,0.2132319558124374,1.0,"{""regulated_utility"": 1.0}",0.5669313208109433,3.496797765468065,22.23666857730726,0.7191098873344681,9744.552204618942,0.3084474885844749,"{""regulated_utility"": 0.015416666666666263}",0.0,83357.02929153013,0.0,1,433.55908729997464,131.4921875,2
0.5,1,capacity_both,20260712,proportional,755.2061003658132,0.21330804640963918,1.0,"{""regulated_utility"": 1.0}",0.5629478596572328,3.474271926095281,21.733801097317972,0.7450387441290657,9692.772154931825,0.3091324200913242,"{""regulated_utility"": 0.015450913242008736}",0.0,82250.12385754078,0.0,1,428.92989149992354,131.7421875,2
0.5,1,capacity_both,20260707,proportional,733.857176152605,0.2133534968987366,1.0,"{""regulated_utility"": 1.0}",0.5724167821712275,3.4771421264850013,21.325906699734897,0.7522293153218779,9467.17024890568,0.3074200913242009,"{""regulated_utility"": 0.015365296803652551}",0.0,80284.12494380078,0.0,1,497.08325470006093,131.68359375,2
0.5,1,capacity_both,20260711,proportional,745.0572424710938,0.21319699531744374,1.0,"{""regulated_utility"": 1.0}",0.5649293028837901,3.52757959627292,21.33106538674653,0.712337804576445,9501.413567460977,0.3065068493150685,"{""regulated_utility"": 0.01531963470319592}",0.0,80586.40492183602,0.0,1,453.77891440014355,131.8828125,2
