deferrable_fraction,response_reference_eur_per_kwh,payback_cap_fraction,ablation,seed,k,broker_count,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,row_provenance,run_wallclock_sec,peak_rss_mb
0.2,0.025,1.0,capacity_both,20260729,1.0,3,609.6203291845673,0.17895467563543904,0.3598208712432671,"{""premium_green"": 0.20635171575238057, ""regulated_utility"": 0.3629048179507021, ""volatile_low_cost"": 0.43074346629691734}",0.6566686102263538,3.5098476226151414,26.13256502587511,0.7110961774202892,5941.929740030895,0.17671232876712328,"{""premium_green"": 0.003651382779340651, ""regulated_utility"": 0.006390037223077628, ""volatile_low_cost"": 0.007629812874294118}",0.14959450036302435,44253.139196524266,0.0,3,direct,396.8812350999797,129.65234375
0.2,0.025,1.0,capacity_both,20260730,1.0,3,610.4763303246021,0.1855545285753855,0.3484301077748052,"{""premium_green"": 0.2360337456862383, ""regulated_utility"": 0.40314866290523604, ""volatile_low_cost"": 0.36081759140852565}",0.7025684508144586,3.7758848487727072,26.7891569450925,0.7623027736544704,5678.150915175708,0.1711187214611872,"{""premium_green"": 0.004028362075903851, ""regulated_utility"": 0.006924617860382976, ""volatile_low_cost"": 0.006158892209831885}",0.11140994481266508,44476.644118083794,0.01,3,direct,375.6267028999282,129.81640625
0.2,0.025,1.0,capacity_both,20260732,1.0,3,594.7326065443115,0.177131667843238,0.3608769989593029,"{""premium_green"": 0.19954184600599872, ""regulated_utility"": 0.38160889300114453, ""volatile_low_cost"": 0.4188492609928567}",0.7019529679896479,3.621204718331447,27.20665161166482,0.7594212512672325,5767.544414659921,0.17636986301369864,"{""premium_green"": 0.003503145577760225, ""regulated_utility"": 0.006748285400792961, ""volatile_low_cost"": 0.007385555322816704}",0.146204943324572,44895.20031135792,0.01,3,direct,336.3108728999505,129.73828125
0.2,0.025,1.0,capacity_both,20260731,1.0,3,610.7316005158593,0.17847916442675496,0.3635089378521534,"{""premium_green"": 0.21301249296141625, ""regulated_utility"": 0.32845550486085434, ""volatile_low_cost"": 0.4585320021777294}",0.6789322479320613,3.556350540817037,27.239671963651098,0.7742767479285891,5886.897549010214,0.17899543378995433,"{""premium_green"": 0.003830276017506022, ""regulated_utility"": 0.005855807676830707, ""volatile_low_cost"": 0.008213459684658732}",0.16367967281087537,46260.49980730208,0.0,3,direct,376.96132829994895,129.6875
0.2,0.025,1.0,capacity_both,20260733,1.0,3,662.6488903129368,0.185272931228365,0.34935429680704444,"{""premium_green"": 0.23329921217859853, ""regulated_utility"": 0.40583066727326095, ""volatile_low_cost"": 0.3608701205481405}",0.6550098945332753,3.5203757184416498,27.531822412935192,0.7228055595747551,6129.733662240964,0.17374429223744292,"{""premium_green"": 0.004076578937092902, ""regulated_utility"": 0.007080120748554859, ""volatile_low_cost"": 0.006217729538096574}",0.11502097006310819,47227.23431796734,0.02,3,direct,394.8543614000082,129.75390625
0.2,0.1,0.25,capacity_both,20260705,1.0,3,638.581361685714,0.1799824178277922,0.3715317500532145,"{""premium_green"": 0.1746108410579732, ""regulated_utility"": 0.39839121642716274, ""volatile_low_cost"": 0.42699794251486417}",0.6417764312171217,3.260705416439285,20.055014367755142,0.7285419695971803,5481.619627535988,0.18070776255707763,"{""premium_green"": 0.0032240778274148117, ""regulated_utility"": 0.00717589930231524, ""volatile_low_cost"": 0.007670799125977728}",0.16825806763792706,20042.789954769534,0.0,3,direct,363.80660579993855,129.82421875
0.2,0.1,0.25,capacity_both,20260704,1.0,3,643.6013534323353,0.1877245185283428,0.35216153121097826,"{""premium_green"": 0.2213379130022729, ""regulated_utility"": 0.39195178909397854, ""volatile_low_cost"": 0.38671029790374845}",0.6373258147992252,3.23665146821253,19.24156731228938,0.7256693519917045,5516.525225784676,0.17968036529680365,"{""premium_green"": 0.004057325498785678, ""regulated_utility"": 0.007027420041366176, ""volatile_low_cost"": 0.006883290989528503}",0.11374258406113724,18198.05106260861,0.0,3,direct,379.87828860001173,129.75390625
0.2,0.1,0.25,capacity_both,20260706,1.0,3,620.6471366934032,0.1827817733724717,0.35123417586400935,"{""premium_green"": 0.22847645321814525, ""regulated_utility"": 0.35922505760468443, ""volatile_low_cost"": 0.41229848917717027}",0.6707553543562818,3.3227061681339163,19.993757754489167,0.7653288966692031,5432.1037853622665,0.18036529680365296,"{""premium_green"": 0.0041820996624980546, ""regulated_utility"": 0.0064743912363973526, ""volatile_low_cost"": 0.007380038781469924}",0.12254802397268372,18510.091409074426,0.015,3,direct,353.02737909997813,129.87890625
0.2,0.1,0.25,capacity_both,20260707,1.0,3,638.3164217193772,0.18405471373932536,0.34616705436687706,"{""premium_green"": 0.2412148379053585, ""regulated_utility"": 0.37214705712999685, ""volatile_low_cost"": 0.38663810496464457}",0.6428294709388531,3.261997168213686,19.53757352530615,0.7443773651782306,5578.297867105989,0.17876712328767122,"{""premium_green"": 0.004359370814096646, ""regulated_utility"": 0.0066442357077326685, ""volatile_low_cost"": 0.006873105806937803}",0.0969488447061908,18095.67656254409,0.01,3,direct,386.2516535000177,129.71875
0.2,0.1,0.25,capacity_both,20260709,1.0,3,661.2445724067057,0.1859804150817836,0.34903545881450404,"{""premium_green"": 0.23106455867662448, ""regulated_utility"": 0.38709184684898756, ""volatile_low_cost"": 0.38184359447438787}",0.6332302941971787,3.2347169889070413,19.8979655040692,0.7364177943998176,5644.59402070248,0.18230593607305937,"{""premium_green"": 0.004266973831842586, ""regulated_utility"": 0.007032429051243838, ""volatile_low_cost"": 0.00693119072421949}",0.10401819211490881,18887.51008951614,0.0,3,direct,392.22823529993184,129.640625
0.2,0.1,0.25,capacity_both,20260711,1.0,3,625.3705727790871,0.1799091025524286,0.3665982526099587,"{""premium_green"": 0.18680565734791127, ""regulated_utility"": 0.3835821812968034, ""volatile_low_cost"": 0.42961216135528535}",0.6412383954802403,3.22842832113426,19.583770635174158,0.7122450160323177,5567.60186682398,0.17831050228310502,"{""premium_green"": 0.003386055930569514, ""regulated_utility"": 0.0068566718107227935, ""volatile_low_cost"": 0.007588322487018195}",0.16187100267158305,18815.629468664352,0.01,3,direct,360.840478099999,129.68359375
0.2,0.1,0.25,capacity_both,20260710,1.0,3,620.5023441314688,0.181216533468041,0.3639601872764452,"{""premium_green"": 0.19425900959962833, ""regulated_utility"": 0.3744596463908763, ""volatile_low_cost"": 0.43128134400949525}",0.6542393135848159,3.2776624303768007,19.75686235384318,0.7608756983459857,5352.842968429469,0.18093607305936074,"{""premium_green"": 0.0036066658632838916, ""regulated_utility"": 0.006763465036593436, ""volatile_low_cost"": 0.007723476406058787}",0.15801488960657806,19320.214430022086,0.0,3,direct,376.3028778999578,129.63671875
0.2,0.1,0.25,capacity_both,20260713,1.0,3,616.1795073689624,0.18103216434684005,0.35242449791728697,"{""premium_green"": 0.229964332795284, ""regulated_utility"": 0.34588064428324117, ""volatile_low_cost"": 0.42415502292147483}",0.6694474312025736,3.320883391667283,19.925124623967527,0.7489837485630086,5461.869301399422,0.1773972602739726,"{""premium_green"": 0.004089520075125682, ""regulated_utility"": 0.006146919418128486, ""volatile_low_cost"": 0.007503286534143091}",0.12946046008412715,18035.114340014403,0.0,3,direct,342.842686100048,129.65234375
0.2,0.1,0.25,capacity_both,20260715,1.0,3,614.1425970203258,0.18555411988774026,0.36202746466014685,"{""premium_green"": 0.19964811810212246, ""regulated_utility"": 0.430888529326433, ""volatile_low_cost"": 0.3694633525714444}",0.6583491747070325,3.2969507936393,18.985342421516656,0.7043992500415798,5242.369770106106,0.1771689497716895,"{""premium_green"": 0.0036207844402054625, ""regulated_utility"": 0.007564974938154229, ""volatile_low_cost"": 0.006531135598809279}",0.15416027414954026,18127.20040190205,0.015,3,direct,362.4965891999891,129.73828125
0.2,0.1,0.25,capacity_both,20260708,1.0,3,646.1233746657338,0.1893839083671357,0.37212924470026104,"{""premium_green"": 0.19733256379928793, ""regulated_utility"": 0.4756694342674482, ""volatile_low_cost"": 0.32699800193326384}",0.64104033341775,3.254648303224239,19.08681984786847,0.6994095901270313,5408.538456147035,0.17842465753424658,"{""premium_green"": 0.0036222812534571778, ""regulated_utility"": 0.008386646000277435, ""volatile_low_cost"": 0.005833538499690071}",0.18555791364544016,18952.79186375875,0.01,3,direct,474.25250539998524,129.51953125
0.2,0.1,0.25,capacity_both,20260714,1.0,3,619.1459999193078,0.18368568225098875,0.35526446122919086,"{""premium_green"": 0.2131219894784677, ""regulated_utility"": 0.3821479223018901, ""volatile_low_cost"": 0.4047300882196422}",0.6427453441181635,3.2794812895480403,19.033925747432068,0.7405256409281428,5301.922771593525,0.17968036529680365,"{""premium_green"": 0.0038880103742303662, ""regulated_utility"": 0.006821553901836889, ""volatile_low_cost"": 0.007258472253613075}",0.1277387324941166,18224.760578370482,0.01,3,direct,392.06255889998283,129.81640625
0.2,0.1,0.25,capacity_both,20260716,1.0,3,656.2913364014804,0.18555488322459035,0.3624726688776257,"{""premium_green"": 0.1950868189908552, ""regulated_utility"": 0.4178056532206593, ""volatile_low_cost"": 0.38710752778848556}",0.6054224014773164,3.2095193697967277,18.853432511322797,0.7002614895039818,5548.441642089629,0.18093607305936074,"{""premium_green"": 0.00361020009431142, ""regulated_utility"": 0.007544990892335383, ""volatile_low_cost"": 0.006938416319289272}",0.1484792228198697,19011.340543682807,0.02,3,direct,380.7006200000178,129.6875
0.2,0.1,0.25,capacity_both,20260712,1.0,3,615.3733243984675,0.17944823437858914,0.3873732559735174,"{""premium_green"": 0.14369078535867563, ""regulated_utility"": 0.4349912233221495, ""volatile_low_cost"": 0.4213179913191748}",0.6673525832845953,3.304996980656961,19.982127328144905,0.7172027626030866,5307.3674125213165,0.17636986301369864,"{""premium_green"": 0.0026001618460272527, ""regulated_utility"": 0.007631695675264149, ""volatile_low_cost"": 0.007405128780078423}",0.19420029197564914,20009.279935694354,0.005,3,direct,441.11985459993593,129.70703125
0.2,0.1,0.25,capacity_both,20260718,1.0,3,653.6680771445266,0.17909894498716972,0.35991162267120236,"{""premium_green"": 0.22937035248653534, ""regulated_utility"": 0.3133223336690799, ""volatile_low_cost"": 0.45730731384438483}",0.6224523839744167,3.210258966761663,20.055645985990083,0.7241215713681294,5731.001915025842,0.18299086757990868,"{""premium_green"": 0.004285624695822424, ""regulated_utility"": 0.005734759234440816, ""volatile_low_cost"": 0.008278702827727642}",0.1519579742385666,19926.747397519615,0.02,3,direct,337.88011720008217,129.82421875
0.2,0.1,0.25,capacity_both,20260717,1.0,3,658.8731965010373,0.1815648635390729,0.3680080053785886,"{""premium_green"": 0.1812960913193758, ""regulated_utility"": 0.40843336671813063, ""volatile_low_cost"": 0.4102705419624935}",0.6058897105473016,3.1539946889287096,19.44612345433204,0.6977288691440962,5726.920021480512,0.18287671232876712,"{""premium_green"": 0.003393449964160257, ""regulated_utility"": 0.007447197298102525, ""volatile_low_cost"": 0.007447023970613924}",0.1526496337620784,19819.109456151098,0.0,3,direct,405.58112239988986,129.75390625
0.2,0.1,0.25,capacity_both,20260720,1.0,3,646.4861649995963,0.18468178846981745,0.343957806162617,"{""premium_green"": 0.2637060381238053, ""regulated_utility"": 0.3272047504664224, ""volatile_low_cost"": 0.4090892114097724}",0.6365961977564324,3.2520323176694133,19.64032885283528,0.7349414647683641,5545.078674268118,0.18184931506849314,"{""premium_green"": 0.004847577307157861, ""regulated_utility"": 0.005980983661499299, ""volatile_low_cost"": 0.007356370538192107}",0.09692211552397811,18380.74484026091,0.005,3,direct,304.05063569999766,129.87890625
0.2,0.1,0.25,capacity_both,20260719,1.0,3,653.0765536583967,0.18469569916412001,0.3539494999063638,"{""premium_green"": 0.21612172940013288, ""regulated_utility"": 0.3898987397328595, ""volatile_low_cost"": 0.3939795308670077}",0.618871237946454,3.192958660815105,19.3225239536923,0.7079271843562007,5661.948507611131,0.18184931506849314,"{""premium_green"": 0.0040349052064174865, ""regulated_utility"": 0.0070500556748360746, ""volatile_low_cost"": 0.007099970625595775}",0.1185718676445835,18735.91361927748,0.02,3,direct,410.75459459994454,129.75390625
