scope,k,broker_count,ablation,metric,metric_label,n_seeds,paired_mean_diff,paired_mean_pct_change,paired_dz,p_uncorrected,p_holm,p_bh,survives_holm_alpha05,survives_bh_alpha05,ci95_t_lo,ci95_t_hi,ci95_boot_lo,ci95_boot_hi,ci_disagreement_flag,ci_disagreement_detail,ci_width_ratio,degenerate,correction_family,correction_family_size,family_size_primary,family_size_alternative,family_size_monopoly_secondary,bootstrap_seed,n_bootstrap,alpha,metric3_sign_convention,notes
main_sweep,1.0,2,capacity_pricing_only,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,-0.1926798846947457,-5.49407452181997,-1.9298861051465657,1.847269666872416e-11,5.541809000617248e-10,2.409482174181412e-11,True,True,-0.2299607642155592,-0.1553990051739322,-0.2266612589743196,-0.15608963510512608,False,,1.0565402204691972,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,1.0,2,capacity_pricing_only,feeder_coefficient_of_variation,Feeder coefficient of variation,30,-0.04980886142068129,-7.354911658512124,-16.853950593434334,2.28274367840728e-37,2.1001241841346975e-35,8.817264836224891e-37,True,True,-0.05091239702299056,-0.048705325818372024,-0.05084277670865821,-0.048764652969753824,False,,1.0620499459681525,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,1.0,2,capacity_pricing_only,prosumer_self_sufficiency,Prosumer self-sufficiency,30,-0.00121785088459286,-0.1668101767220081,-6.441641129445267,2.250437665631186e-25,1.3052538460660877e-23,4.219570623058473e-25,True,True,-0.0012884467133304376,-0.0011472550558552824,-0.0012835640589697072,-0.0011516097471466942,False,,1.0700041213092906,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,2,capacity_both,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,47.24546764384516,9.024885071052532,18.08848997406942,2.957096119029785e-38,2.8388122742685936e-36,1.3648135933983625e-37,True,True,46.27016525113531,48.22077003655501,46.35110039579056,48.16559655326099,False,,1.0750118028020612,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,2,capacity_both,load_concentration_hhi,Load concentration HHI,30,-0.0009913721147313667,-0.18637270231143196,-1.098765022096133,1.5152972852835459e-06,3.333654027623801e-05,1.818356742340255e-06,True,True,-0.0013282816668258994,-0.000654462562636834,-0.001326818348063487,-0.0006962320564093285,False,,1.068559708809239,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,2,capacity_both,feeder_peak_to_average_ratio,Feeder peak-to-average ratio,30,-0.1926798846947457,-5.49407452181997,-1.9298861051465657,1.847269666872416e-11,5.541809000617248e-10,2.409482174181412e-11,True,True,-0.2299607642155592,-0.1553990051739322,-0.2269439074857516,-0.15668499854285378,False,,1.0612427685466375,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,1.0,2,capacity_both,feeder_coefficient_of_variation,Feeder coefficient of variation,30,-0.04980886142068129,-7.354911658512124,-16.853950593434334,2.28274367840728e-37,2.1001241841346975e-35,8.817264836224891e-37,True,True,-0.05091239702299056,-0.048705325818372024,-0.05083935808069631,-0.04875920581966994,False,,1.0610142564898317,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,metric3 sign convention: negative (ablation - disabled) diff means IMPROVED stability (lower CoV / lower peak-to-average ratio); positive means worsened.,
main_sweep,1.0,2,capacity_both,prosumer_self_sufficiency,Prosumer self-sufficiency,30,-0.00121785088459286,-0.1668101767220081,-6.441641129445267,2.250437665631186e-25,1.3052538460660877e-23,4.219570623058473e-25,True,True,-0.0012884467133304376,-0.0011472550558552824,-0.0012845478186921636,-0.0011499109346326686,False,,1.0486848270549975,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,3,capacity_pricing_only,avg_cost_per_agent_eur,Avg cost per agent (EUR/year),30,35.679498552255474,5.967795983440526,31.621182544054918,2.807093004138459e-45,3.200086024717843e-43,4.2106395062076883e-44,True,True,35.25816884084122,36.100828263669726,35.28235921022285,36.06825571919847,False,,1.0722269576268684,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
main_sweep,1.0,3,capacity_pricing_only,load_concentration_hhi,Load concentration HHI,30,3.080360011014268e-05,0.008409569026471565,0.3244442882927819,0.08605076539634328,1.0,0.09387356225055629,False,False,-4.648567582173129e-06,6.625576780245849e-05,4.485134622297429e-06,7.039721443426482e-05,True,"zero-exclusion disagreement (t excludes zero=False, bootstrap excludes zero=True)",1.075741132534522,False,primary_main_sweep_real,120,120,180,8,20260704,10000,0.05,,
