k,broker_count,ablation,seed,avg_cost_per_agent_eur,avg_cost_per_kwh_eur,load_concentration_hhi,broker_load_share_json,feeder_coefficient_of_variation,feeder_peak_to_average_ratio,feeder_mean_hourly_ramp_kwh,prosumer_self_sufficiency,total_capacity_charge_eur,capacity_fire_rate,mean_broker_surcharge_json,broker_load_share_gini,total_deferred_kwh,switching_rate,n_brokers,run_wallclock_sec,peak_rss_mb
1.0,3,capacity_disabled,20260718,554.0843357327956,0.1676308228425313,0.3597528918133877,"{""premium_green"": 0.23056873280222592, ""regulated_utility"": 0.31198766856281146, ""volatile_low_cost"": 0.45744359863496264}",0.7690473149482197,9.81659908155278,34.69271042171641,0.768234944780333,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1512499105551579,0.0,0.01,3,363.5669214000227,132.078125
1.0,3,capacity_disabled,20260721,548.3979258009867,0.17137712631360752,0.35408319385229414,"{""premium_green"": 0.21719787978867627, ""regulated_utility"": 0.375296787940706, ""volatile_low_cost"": 0.40750533227061786}",0.7952357151206292,10.064395247917863,34.72387175130438,0.7574150037188073,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1268716349879606,0.0,0.005,3,378.3071867999388,132.3046875
1.0,3,capacity_disabled,20260725,510.2375342761398,0.16475833128596093,0.3875479805078557,"{""premium_green"": 0.1480963807057621, ""regulated_utility"": 0.3889008026000852, ""volatile_low_cost"": 0.46300281669415283}",0.80251048161091,9.990441817399013,33.82038796125747,0.7977806163976672,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.20993762399226013,0.0,0.0,3,386.23425919993315,132.05078125
1.0,3,capacity_disabled,20260719,552.9756518864104,0.17256510115613094,0.35368883210591195,"{""premium_green"": 0.21687716284776337, ""regulated_utility"": 0.3890674953282573, ""volatile_low_cost"": 0.3940553418239793}",0.7632934273354208,9.940405044594646,33.450536914330094,0.750620622544588,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11811878598414416,0.0,0.02,3,434.39430629997514,132.37890625
1.0,3,capacity_disabled,20260724,542.5457942682565,0.17258025694757656,0.3906996867623428,"{""premium_green"": 0.1444295518031169, ""regulated_utility"": 0.4715995791341245, ""volatile_low_cost"": 0.38397086906275874}",0.7777732090220346,9.979811730741359,33.289405229068564,0.7444936180141299,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.2181133515540048,0.0,0.0,3,420.0017388999695,131.94140625
1.0,3,capacity_disabled,20260727,542.0301219970397,0.1736038083862207,0.35641604344741123,"{""premium_green"": 0.2106660309820622, ""regulated_utility"": 0.41066400790194213, ""volatile_low_cost"": 0.37866996111599566}",0.7837564401837622,10.0002718769723,33.30705861115481,0.78247164170738,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.13333198461325324,0.0,0.01,3,420.9520016000606,132.09765625
1.0,3,capacity_disabled,20260726,541.8482865324894,0.17656031776791942,0.3412347660877512,"{""premium_green"": 0.26139463656838574, ""regulated_utility"": 0.37762940424208563, ""volatile_low_cost"": 0.36097595918952863}",0.8041795613027133,10.045777079718007,33.441177869202306,0.7805510236782183,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.07748984511580015,0.0,0.005,3,425.9127320999978,131.82421875
1.0,3,capacity_disabled,20260723,538.6351653154204,0.16952158426740138,0.36439166627305897,"{""premium_green"": 0.18970380880336854, ""regulated_utility"": 0.39759255244543634, ""volatile_low_cost"": 0.412703638751195}",0.7601238855915242,9.815176533662251,32.96626420216587,0.7772212139598608,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.14866655329855116,0.0,0.005,3,447.6876613999484,132.1015625
1.0,3,capacity_disabled,20260729,521.5224581868542,0.16911693265582411,0.3600482161000885,"{""premium_green"": 0.20599361909022448, ""regulated_utility"": 0.3624215585422648, ""volatile_low_cost"": 0.43158482236751067}",0.776811108807199,10.093186832668934,32.70533654206878,0.7536385493604227,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1503941355181908,0.0,0.0,3,423.86518299998716,132.03515625
1.0,3,capacity_disabled,20260728,550.557386090174,0.17090776537439314,0.35734263510009356,"{""premium_green"": 0.20786434398249723, ""regulated_utility"": 0.3820036743961138, ""volatile_low_cost"": 0.4101319816213891}",0.7740936865626469,9.960646313532566,34.00551608669727,0.767163893606631,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.1348450917592614,0.0,0.0,3,438.28373190003913,132.28125
1.0,3,capacity_disabled,20260722,561.7621733119331,0.17374760545102072,0.3771893558236375,"{""premium_green"": 0.16905730695078336, ""regulated_utility"": 0.45655725179785084, ""volatile_low_cost"": 0.37438544125136586}",0.7772609154871931,10.093861270901286,34.29104373880431,0.7624947461742101,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.19166662989804517,0.0,0.0,3,470.0640309000155,132.265625
1.0,3,capacity_disabled,20260730,523.8577526312738,0.17659363933785574,0.34857321313072187,"{""premium_green"": 0.2357035039873327, ""regulated_utility"": 0.4038565923719769, ""volatile_low_cost"": 0.36043990364069045}",0.8224882748838828,10.087839301945627,33.00309117072022,0.8041183357326587,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11210205892309633,0.0,0.005,3,420.90723949996755,132.40625
1.0,3,capacity_disabled,20260731,521.4940421221164,0.16859156291810315,0.3636860139303661,"{""premium_green"": 0.21349358094629117, ""regulated_utility"": 0.3268817878954348, ""volatile_low_cost"": 0.459624631158274}",0.800429751757111,10.000482162693535,33.64926611955229,0.8168884027738686,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.16408736680798874,0.0,0.0,3,426.03640910005197,131.9609375
1.0,3,capacity_disabled,20260732,506.1356384863755,0.16708264629507252,0.3615631246215312,"{""premium_green"": 0.19805550978937078, ""regulated_utility"": 0.38122817037375734, ""volatile_low_cost"": 0.42071631983687185}",0.8237194708438976,10.020604879377085,33.821524638804334,0.802149534667502,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.14844054003166773,0.0,0.01,3,392.0813166999724,132.296875
1.0,3,capacity_disabled,20260733,570.9370828483343,0.1764034575038942,0.3491566706911348,"{""premium_green"": 0.23413931016507575, ""regulated_utility"": 0.4059971610105448, ""volatile_low_cost"": 0.35986352882437955}",0.7766479601281985,9.929092160863423,34.30837578924498,0.7673448071666972,0.0,0.0,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.11457190056364608,0.0,0.02,3,458.60962939995807,132.08203125
1.0,3,capacity_pnl_only,20260706,524.1834363288159,0.17103645063302728,0.351325291714821,"{""premium_green"": 0.22836696823515396, ""regulated_utility"": 0.3587513013201736, ""volatile_low_cost"": 0.4128817304446726}",0.8125293343496053,10.126890893550451,33.738144913653564,0.8107847952922358,8745.093895820266,0.14121004566210046,"{""premium_green"": 0.0, ""regulated_utility"": 0.0, ""volatile_low_cost"": 0.0}",0.12300984147301253,0.0,0.015,3,414.79206800006796,132.37890625
